drug_id,condition_id,average_rating,class
ProCentra,ADHD,10,A
Desoxyn,ADHD,9.588235294,A
Zenzedi,ADHD,9.571428571,A
Methamphetamine,ADHD,9.523809524,A
Cylert,ADHD,9.5,A
Dyanavel XR,ADHD,9.5,A
Pemoline,ADHD,9.5,A
Dextroamphetamine,ADHD,9.302325581,A
Daytrana,ADHD,9.236842105,A
Methylin ER,ADHD,9.222222222,A
Adzenys XR-ODT,ADHD,9.2,A
Dexedrine,ADHD,9.173076923,A
Amphetamine,ADHD,9.068965517,A
Wellbutrin SR,ADHD,9.040816327,A
Amphetamine / dextroamphetamine,ADHD,9.038348083,A
Adderall XR,ADHD,9.032967033,A
Vyvanse,ADHD,9.012084592,A
Aptensio XR,ADHD,9,B
Mydayis,ADHD,9,B
Quillivant XR,ADHD,9,B
Ritalin LA,ADHD,9,B
Lisdexamfetamine,ADHD,8.976878613,B
Metadate CD,ADHD,8.9375,B
Concerta,ADHD,8.920863309,B
Intuniv,ADHD,8.914893617,B
Kapvay,ADHD,8.9,B
Focalin XR,ADHD,8.875,B
Ritalin,ADHD,8.862068966,B
Focalin,ADHD,8.846153846,B
Atomoxetine,ADHD,8.808510638,B
Dexmethylphenidate,ADHD,8.802631579,B
Guanfacine,ADHD,8.76056338,B
Catapres,ADHD,8.75,B
Strattera,ADHD,8.697916667,B
Evekeo,ADHD,8.5,B
Urecholine,Abdominal Distension,9,B
Tri-Lo-Marzia,Abnormal Uterine Bleeding,10,A
Aygestin,Abnormal Uterine Bleeding,9.333333333,A
Necon 1 / 35,Abnormal Uterine Bleeding,9.153846154,A
Provera,Abnormal Uterine Bleeding,9.131578947,A
Necon 1 / 50,Abnormal Uterine Bleeding,9,B
Mestranol / norethindrone,Abnormal Uterine Bleeding,8.75,B
Tri-Previfem,Abnormal Uterine Bleeding,8.630434783,B
Low-Ogestrel-21,Abnormal Uterine Bleeding,8,C
Cytotec,Abortion,9.5,A
Mifepristone,Abortion,7,C
Absorica,Acne,10,A
Adoxa,Acne,10,A
Avar,Acne,10,A
Avita,Acne,10,A
Benzoyl peroxide / hydrocortisone,Acne,10,A
Benzoyl peroxide / sulfur,Acne,10,A
Clindagel,Acne,10,A
Ery Pads,Acne,10,A
Fostex Medicated,Acne,10,A
Hexachlorophene,Acne,10,A
Norinyl 1+35,Acne,10,A
NuOx,Acne,10,A
Oxy-10,Acne,10,A
PanOxyl 10% Acne Foaming Wash,Acne,10,A
Pernox,Acne,10,A
Resorcinol / sulfur,Acne,10,A
Salicylic acid,Acne,10,A
Sulfur,Acne,10,A
PanOxyl,Acne,9.6,A
Zenatane,Acne,9.6,A
Onexton,Acne,9.583333333,A
Benzaclin,Acne,9.565217391,A
Benzoyl peroxide,Acne,9.55,A
Aldactone,Acne,9.444444444,A
Dapsone,Acne,9.442105263,A
Sulfacetamide sodium / sulfur,Acne,9.4,A
Accutane,Acne,9.388489209,A
Minocin,Acne,9.333333333,A
Ziana,Acne,9.333333333,A
Isotretinoin,Acne,9.286031042,A
Tazarotene,Acne,9.272727273,A
Aczone,Acne,9.247311828,A
Acanya,Acne,9.242424242,A
Monodox,Acne,9.210526316,A
Benzoyl peroxide / clindamycin,Acne,9.168316832,A
Atralin,Acne,9.166666667,A
Tretinoin,Acne,9.157360406,A
Differin,Acne,9.157142857,A
Retin-A,Acne,9.133333333,A
Adapalene,Acne,9.123076923,A
Spironolactone,Acne,9.118644068,A
Doryx,Acne,9.105263158,A
Tetracycline,Acne,9.0625,A
Clindamycin / tretinoin,Acne,9.055555556,A
Benzoyl peroxide / erythromycin,Acne,9.045454545,A
Adapalene / benzoyl peroxide,Acne,9.003401361,A
Altabax,Acne,9,B
BP Wash,Acne,9,B
Benzamycin,Acne,9,B
Duac,Acne,9,B
Fabior,Acne,9,B
Tretin-X,Acne,9,B
Yasmin,Acne,9,B
Epiduo,Acne,8.996453901,B
Solodyn,Acne,8.976744186,B
Claravis,Acne,8.962962963,B
Minocycline,Acne,8.95890411,B
Tri-Sprintec,Acne,8.956284153,B
Amnesteem,Acne,8.941176471,B
Veltin,Acne,8.923076923,B
Gianvi,Acne,8.904109589,B
TriNessa,Acne,8.821917808,B
Ethinyl estradiol / norgestimate,Acne,8.796059113,B
Epiduo Forte,Acne,8.538461538,B
BenzEFoam,Acne,8.5,B
Myorisan,Acne,8.5,B
Acticlate,Acne,8.333333333,B
Retin A Micro,Acne,8.333333333,B
TriNessa Lo,Acne,8.333333333,B
Benzoyl peroxide / salicylic acid,Acne,8,C
Dynacin,Acne,8,C
Sumadan,Acne,8,C
Ingenol,Actinic Keratosis,8.666666667,B
Tolak,Actinic Keratosis,8,C
Effient,Acute Coronary Syndrome,9,B
Prasugrel,Acute Coronary Syndrome,9,B
Ticagrelor,Acute Coronary Syndrome,8.166666667,B
Brilinta,Acute Coronary Syndrome,8,C
Gleevec,Acute Lymphoblastic Leukemia,9.35,A
Arsenic trioxide,Acute Promyelocytic Leukemia,9,B
Vesanoid,Acute Promyelocytic Leukemia,8,C
Decadron,Addison's Disease,9,B
Hydrocortone,Addison's Disease,8,C
Cortef,Adrenocortical Insufficiency,9,B
Norditropin,Adult Human Growth Hormone Deficiency,10,A
Omnitrope,Adult Human Growth Hormone Deficiency,10,A
Somatropin,Adult Human Growth Hormone Deficiency,9.583333333,A
Saizen,Adult Human Growth Hormone Deficiency,9,B
Abilify,Agitated State,9.018518519,A
Zyprexa Intramuscular,Agitation,8,C
Antabuse,Alcohol Dependence,9.6,A
Disulfiram,Alcohol Dependence,9.5,A
Campral,Alcohol Dependence,9.471264368,A
Acamprosate,Alcohol Dependence,9.444444444,A
Revia,Alcohol Dependence,9.333333333,A
Chlordiazepoxide,Alcohol Withdrawal,9.617283951,A
Librium,Alcohol Withdrawal,9.520547945,A
Baclofen,Alcohol Withdrawal,9.043859649,A
Serax,Alcohol Withdrawal,8.857142857,B
Lioresal,Alcohol Withdrawal,8.666666667,B
Dexchlorpheniramine,Allergic Reactions,10,A
EpiPen,Allergic Reactions,10,A
Chlor-Trimeton,Allergic Reactions,9.5,A
Acetaminophen / dexbrompheniramine / pseudoephedrine,Allergic Rhinitis,10,A
Allegra ODT,Allergic Rhinitis,10,A
Astelin,Allergic Rhinitis,10,A
Children's Claritin Allergy,Allergic Rhinitis,10,A
Chlorpheniramine / phenylephrine,Allergic Rhinitis,10,A
Clemastine,Allergic Rhinitis,10,A
Deconamine,Allergic Rhinitis,10,A
Diphenhydramine / phenylephrine,Allergic Rhinitis,10,A
Drixoral Cold / Flu,Allergic Rhinitis,10,A
R-Tanna,Allergic Rhinitis,10,A
Zyrtec-D 12 Hour,Allergic Rhinitis,10,A
Dexbrompheniramine / pseudoephedrine,Allergic Rhinitis,9.942857143,A
Kenalog-40,Allergic Rhinitis,9.777777778,A
Brompheniramine,Allergic Rhinitis,9.666666667,A
Nasacort AQ,Allergic Rhinitis,9.666666667,A
Omnaris,Allergic Rhinitis,9.666666667,A
Patanase,Allergic Rhinitis,9.666666667,A
Rhinocort,Allergic Rhinitis,9.666666667,A
Azelastine / fluticasone,Allergic Rhinitis,9.653846154,A
Nasacort,Allergic Rhinitis,9.611111111,A
Dymista,Allergic Rhinitis,9.586206897,A
Azelastine,Allergic Rhinitis,9.583333333,A
Cetirizine / pseudoephedrine,Allergic Rhinitis,9.5,A
Rhinocort Aqua,Allergic Rhinitis,9.5,A
Astepro,Allergic Rhinitis,9.454545455,A
Fexofenadine,Allergic Rhinitis,9.395833333,A
Fluticasone,Allergic Rhinitis,9.352112676,A
Nasacort Allergy 24HR,Allergic Rhinitis,9.333333333,A
Nasonex,Allergic Rhinitis,9.263157895,A
Xyzal,Allergic Rhinitis,9.241935484,A
Chlorpheniramine,Allergic Rhinitis,9.210526316,A
Loratadine,Allergic Rhinitis,9.210526316,A
Zyrtec,Allergic Rhinitis,9.06122449,A
All Day Allergy,Allergic Rhinitis,9,B
Allegra-D 12 Hour,Allergic Rhinitis,9,B
Beconase AQ,Allergic Rhinitis,9,B
Benadryl Allergy Sinus,Allergic Rhinitis,9,B
Carbinoxamine,Allergic Rhinitis,9,B
Clarinex,Allergic Rhinitis,9,B
Clarinex-D 12 Hour,Allergic Rhinitis,9,B
Claritin,Allergic Rhinitis,9,B
Desloratadine / pseudoephedrine,Allergic Rhinitis,9,B
Diphenhydramine / pseudoephedrine,Allergic Rhinitis,9,B
Flunisolide,Allergic Rhinitis,9,B
Nasarel,Allergic Rhinitis,9,B
Palgic,Allergic Rhinitis,9,B
QNASL,Allergic Rhinitis,9,B
Wal-finate,Allergic Rhinitis,9,B
Zyrtec-D,Allergic Rhinitis,9,B
Claritin-D 24 Hour,Allergic Rhinitis,8.666666667,B
Fexofenadine / pseudoephedrine,Allergic Rhinitis,8.55,B
Allegra-D 24 Hour,Allergic Rhinitis,8.5,B
Desloratadine,Allergic Rhinitis,8.333333333,B
Triprolidine,Allergies,10,A
Zymine,Allergies,10,A
Hyzine,Allergies,8,C
Rogaine Women's,Alopecia,10,A
Kenalog-10,Alopecia,9.777777778,A
Minoxidil,Alopecia,8.90625,B
Rogaine,Alopecia,8.2,B
Alpha 1-proteinase inhibitor,Alpha-1 Proteinase Inhibitor Deficiency,10,A
Prolastin-C,Alpha-1 Proteinase Inhibitor Deficiency,10,A
Zemaira,Alpha-1 Proteinase Inhibitor Deficiency,10,A
Razadyne ER,Alzheimer's Disease,10,A
Galantamine,Alzheimer's Disease,9,B
Exelon,Alzheimer's Disease,8.5,B
Namenda,Alzheimer's Disease,8.5,B
Rivastigmine,Alzheimer's Disease,8.5,B
Aricept,Alzheimer's Disease,8.333333333,B
Namenda XR,Alzheimer's Disease,8,C
Nitroglycerin,Anal Fissure and Fistula,9.125,A
Rectiv,Anal Fissure and Fistula,8.333333333,B
Temozolomide,Anaplastic Oligodendroglioma,9.285714286,A
Propecia,Androgenetic Alopecia,8.6,B
Ferralet 90,Anemia,10,A
Integra,Anemia,10,A
Oxymetholone,Anemia,10,A
Multivitamin with iron,Anemia,9.25,A
Epogen,Anemia,9,B
Integra F,Anemia,9,B
Maxaron Forte,Anemia,8,C
Aranesp,Anemia Associated with Chronic Renal Failure,9,B
Darbepoetin alfa,Anemia Associated with Chronic Renal Failure,9,B
Epoetin alfa,Anemia Associated with Chronic Renal Failure,8.75,B
Procrit,"Anemia, Chemotherapy Induced",9,B
Hydroxyurea,"Anemia, Sickle Cell",9.5,A
Ketalar,Anesthesia,10,A
Pentothal,Anesthesia,10,A
Thiopental,Anesthesia,10,A
Diprivan,Anesthesia,9.75,A
Emla,Anesthesia,9.75,A
Propofol,Anesthesia,9.62987013,A
Ketamine,Anesthesia,9.571428571,A
Lidocaine / prilocaine,Anesthesia,8.8,B
Lidoderm,Anesthesia,8.619047619,B
Ranolazine,Angina,9.416666667,A
Ranexa,Angina,9.277777778,A
Isosorbide dinitrate,Angina,9,B
Imdur,Angina Pectoris Prophylaxis,9.5,A
Enbrel,Ankylosing Spondylitis,9.284482759,A
Clinoril,Ankylosing Spondylitis,9.25,A
Cimzia,Ankylosing Spondylitis,9.2,A
Indocin SR,Ankylosing Spondylitis,8.666666667,B
Cyproheptadine,Anorexia,9.466666667,A
Dronabinol,Anorexia,9.347826087,A
Immune globulin intravenous,Anti NMDA Receptor Encephalitis,9.5,A
Alprazolam Intensol,Anxiety,10,A
Micrainin,Anxiety,10,A
Pexeva,Anxiety,10,A
Tranxene SD,Anxiety,10,A
Zetran,Anxiety,10,A
Diazepam Intensol,Anxiety,9.75,A
Stelazine,Anxiety,9.75,A
Xanax XR,Anxiety,9.588235294,A
Amitriptyline / perphenazine,Anxiety,9.5,A
Limbitrol DS,Anxiety,9.5,A
Triavil,Anxiety,9.5,A
Diazepam,Anxiety,9.477508651,A
Propranolol,Anxiety,9.440506329,A
Clorazepate,Anxiety,9.411764706,A
Ativan,Anxiety,9.393442623,A
Trifluoperazine,Anxiety,9.333333333,A
Tranxene,Anxiety,9.25,A
Oxazepam,Anxiety,9.034482759,A
BuSpar,Anxiety,9.019354839,A
Meprobamate,Anxiety,9,B
Miltown,Anxiety,9,B
Remeron,Anxiety,8.967032967,B
Mirtazapine,Anxiety,8.954301075,B
Phenytoin,Anxiety,8.9,B
Buspirone,Anxiety,8.883458647,B
Vistaril,Anxiety,8.754098361,B
Atarax,Anxiety,8.744680851,B
Hydroxyzine,Anxiety,8.735177866,B
Tenormin,Anxiety,8.692307692,B
Prozac,Anxiety and Stress,9.039772727,A
Kava,Anxiety and Stress,9,B
Citalopram,Anxiety and Stress,8.993455497,B
Fluvoxamine,Anxiety and Stress,8.963414634,B
Orajel,Aphthous Ulce,7,C
Mexitil,Arrhythmia,10,A
Pacerone,Arrhythmia,10,A
Tikosyn,Arrhythmia,9.181818182,A
Dofetilide,Arrhythmia,9.041666667,A
Mexiletine,Arrhythmia,9,B
Norpace CR,Arrhythmia,9,B
Amiodarone,Arrhythmia,8.8,B
Disopyramide,Arrhythmia,8.25,B
Cordarone,Arrhythmia,8,C
Norpace,Arrhythmia,8,C
Quinidine,Arrhythmia,8,C
Aristocort,Asthma,10,A
Azmacort,Asthma,10,A
Ipratropium Inhalation Solution,Asthma,10,A
Mepolizumab,Asthma,10,A
Nucala,Asthma,10,A
Breo Ellipta,Asthma,9.483870968,A
Singulair,Asthma,9.433333333,A
Montelukast,Asthma,9.25,A
Prednisone,Asthma,9.246696035,A
Atrovent,Asthma,9.2,A
Dexamethasone,Asthma,9.03030303,A
Dulera,Asthma,8.909090909,B
Cinqair,Asthma,8,C
Reslizumab,Asthma,8,C
Accolate,"Asthma, Maintenance",10,A
Intal Inhaler,"Asthma, Maintenance",10,A
Metaproterenol,"Asthma, Maintenance",10,A
Pulmicort Respules,"Asthma, Maintenance",10,A
Zafirlukast,"Asthma, Maintenance",10,A
Cromolyn,"Asthma, Maintenance",9.875,A
Flovent HFA,"Asthma, Maintenance",9.666666667,A
Pulmicort Flexhaler,"Asthma, Maintenance",9.666666667,A
Xolair,"Asthma, Maintenance",9.660377358,A
