drugName,rating,condition,class
ProCentra,10.0,ADHD,A
Cylert,9.8,ADHD,A
Pemoline,9.8,ADHD,A
Desoxyn,9.666666666666666,ADHD,A
Zenzedi,9.571428571428571,ADHD,A
Methamphetamine,9.518518518518519,ADHD,A
Daytrana,9.30232558139535,ADHD,A
Modafinil,9.292079207920793,ADHD,A
Adzenys XR-ODT,9.272727272727273,ADHD,A
Methylin,9.25,ADHD,A
Dextroamphetamine,9.216216216216216,ADHD,A
Dyanavel XR,9.2,ADHD,A
Ritalin LA,9.2,ADHD,A
Dexedrine,9.116666666666667,ADHD,A
Amphetamine / dextroamphetamine,9.092233009708737,ADHD,A
Adderall,9.080188679245284,ADHD,A
Lisdexamfetamine,9.033407572383073,ADHD,A
Amphetamine,9.03125,ADHD,A
Adderall XR,9.016666666666667,ADHD,A
Vyvanse,9.004728132387706,ADHD,A
Dextrostat,9.0,ADHD,B
Quillivant XR,9.0,ADHD,B
Kapvay,8.923076923076923,ADHD,B
Concerta,8.906976744186046,ADHD,B
Intuniv,8.864406779661017,ADHD,B
Focalin XR,8.816326530612244,ADHD,B
Metadate CD,8.8,ADHD,B
Mydayis,8.8,ADHD,B
Ritalin,8.788732394366198,ADHD,B
Strattera,8.75609756097561,ADHD,B
Guanfacine,8.75,ADHD,B
Dexmethylphenidate,8.74712643678161,ADHD,B
Atomoxetine,8.715384615384615,ADHD,B
Evekeo,8.714285714285714,ADHD,B
Aptensio XR,8.666666666666666,ADHD,B
Focalin,8.64516129032258,ADHD,B
Metadate ER,7.0,ADHD,C
Bethanechol,8.5,Abdominal Distension,B
Tri-Lo-Marzia,10.0,Abnormal Uterine Bleeding,A
Ovcon 35,9.833333333333334,Abnormal Uterine Bleeding,A
Megace,9.5,Abnormal Uterine Bleeding,A
Megestrol,9.368421052631579,Abnormal Uterine Bleeding,A
Provera,9.01923076923077,Abnormal Uterine Bleeding,A
Low-Ogestrel-21,9.0,Abnormal Uterine Bleeding,B
Necon 1 / 50,9.0,Abnormal Uterine Bleeding,B
Medroxyprogesterone,8.951983298538622,Abnormal Uterine Bleeding,B
Depo-Provera,8.902255639097744,Abnormal Uterine Bleeding,B
Ortho Micronor,8.872340425531915,Abnormal Uterine Bleeding,B
CamreseLo,8.5,Abnormal Uterine Bleeding,B
Cytotec,9.5,Abortion,A
Misoprostol,8.714285714285714,Abortion,B
Mifepristone,7.0,Abortion,C
Mucomyst-10,9.0,Acetaminophen Overdose,B
